Date;M2SL
2012-01-01;9733.3
2012-02-01;9785.7
2012-03-01;9830.6
2012-04-01;9884.6
2012-05-01;9928.4
2012-06-01;9999.3
2012-07-01;10051.8
2012-08-01;10121.3
2012-09-01;10200.8
2012-10-01;10267.3
2012-11-01;10337.6
2012-12-01;10459.7
2013-01-01;10482.9
2013-02-01;10501.3
2013-03-01;10558.3
2013-04-01;10586.3
2013-05-01;10621.0
2013-06-01;10678.7
2013-07-01;10718.4
2013-08-01;10776.6
2013-09-01;10837.2
2013-10-01;10961.6
2013-11-01;10969.7
2013-12-01;11035.0
2014-01-01;11080.8
2014-02-01;11178.8
2014-03-01;11208.1
2014-04-01;11257.7
2014-05-01;11321.0
2014-06-01;11374.9
2014-07-01;11429.9
2014-08-01;11458.9
2014-09-01;11499.8
2014-10-01;11566.0
2014-11-01;11604.8
2014-12-01;11684.9
2015-01-01;11745.6
2015-02-01;11879.0
2015-03-01;11886.8
2015-04-01;11928.9
2015-05-01;11957.9
2015-06-01;12001.7
2015-07-01;12051.3
2015-08-01;12101.9
2015-09-01;12160.8
2015-10-01;12195.9
2015-11-01;12284.6
2015-12-01;12346.8
2016-01-01;12469.9
2016-02-01;12556.7
2016-03-01;12616.7
2016-04-01;12700.4
2016-05-01;12766.2
2016-06-01;12829.4
2016-07-01;12887.7
2016-08-01;12972.8
2016-09-01;13033.6
2016-10-01;13100.5
2016-11-01;13173.4
2016-12-01;13213.4
2017-01-01;13283.4
2017-02-01;13358.8
2017-03-01;13426.9
2017-04-01;13484.9
2017-05-01;13538.1
2017-06-01;13559.2
2017-07-01;13618.7
2017-08-01;13673.7
2017-09-01;13717.9
2017-10-01;13770.1
2017-11-01;13799.9
2017-12-01;13857.9
2018-01-01;13869.7
2018-02-01;13912.3
2018-03-01;13970.2
2018-04-01;13988.8
2018-05-01;14047.2
2018-06-01;14103.6
2018-07-01;14139.2
2018-08-01;14181.3
2018-09-01;14212.9
2018-10-01;14222.5
2018-11-01;14236.8
2018-12-01;14362.7
2019-01-01;14430.0
2019-02-01;14469.9
2019-03-01;14509.9
2019-04-01;14541.0
2019-05-01;14643.2
2019-06-01;14757.7
2019-07-01;14840.6
2019-08-01;14914.6
2019-09-01;15008.1
2019-10-01;15140.8
2019-11-01;15242.2
2019-12-01;15320.7
2020-01-01;15396.0
2020-02-01;15450.3
2020-03-01;15978.7
2020-04-01;16997.6
2020-05-01;17851.1
2020-06-01;18131.7
2020-07-01;18286.3
2020-08-01;18346.0
2020-09-01;18577.3
2020-10-01;18729.1
2020-11-01;18949.3
2020-12-01;19114.6
2021-01-01;19357.5
2021-02-01;19600.6
2021-03-01;19840.8
2021-04-01;20116.8
2021-05-01;20431.1
2021-06-01;20506.7
2021-07-01;20663.1
2021-08-01;20847.8
2021-09-01;20964.3
2021-10-01;21115.6
2021-11-01;21315.7
2021-12-01;21549.3
2022-01-01;21562.3
2022-02-01;21570.7
2022-03-01;21697.8
2022-04-01;21677.2
2022-05-01;21665.5
2022-06-01;21666.1
2022-07-01;21703.5
2022-08-01;21659.6
2022-09-01;21525.1
2022-10-01;21433.2
2022-11-01;21399.3
2022-12-01;21358.3
2023-01-01;21221.7
2023-02-01;21099.8
2023-03-01;20876.0
2023-04-01;20705.4
2023-05-01;20820.8
2023-06-01;20854.5
2023-07-01;20863.8
2023-08-01;20825.6
2023-09-01;20755.4
2023-10-01;20725.7
2023-11-01;20767.5
2023-12-01;20865.2
2024-02-29;20865.2